#Oct 10, 2006	Omega Optical
#Room temperature transmission scans of SWIRC Y-band filter witness sample
#at 15 deg angle of incidence with respect to the normal.
#wl	transmission
#--	-
2181	0.0115
2180	0.0158
2179	0.0173
2178	0.0019
2177	0.0017
2176	0.0077
2175	-0.0022
2174	0.0013
2173	0.0098
2172	0.0007
2171	0.0115
2170	-0.0156
2169	0.0175
2168	0.0243
2167	0.0167
2166	0.0053
2165	-0.0007
2164	-0.0047
2163	-0.0034
2162	0.0039
2161	0.0028
2160	0.0116
2159	0.0094
2158	0.0110
2157	0.0079
2156	-0.0047
2155	0.0006
2154	0.0113
2153	0.0013
2152	0.0014
2151	0.0001
2150	0.0062
2149	-0.0108
2148	0.0055
2147	-0.0054
2146	-0.0155
2145	0.0135
2144	-0.0013
2143	0.0032
2142	-0.0095
2141	-0.0005
2140	0.0082
2139	-0.0067
2138	0.0021
2137	0.0088
2136	-0.0008
2135	0.0134
2134	0.0060
2133	-0.0007
2132	0.0082
2131	-0.0027
2130	0.0195
2129	0.0148
2128	-0.0021
2127	0.0021
2126	-0.0083
2125	0.0067
2124	-0.0074
2123	-0.0013
2122	0.0075
2121	-0.0035
2120	0.0079
2119	0.0149
2118	0.0041
2117	0.0013
2116	0.0032
2115	-0.0101
2114	0.0113
2113	0.0060
2112	0.0000
2111	-0.0000
2110	0.0141
2109	-0.0013
2108	0.0035
2107	0.0021
2106	0.0065
2105	0.0166
2104	0.0046
2103	0.0021
2102	-0.0020
2101	-0.0061
2100	-0.0019
2099	-0.0039
2098	0.0115
2097	-0.0046
2096	-0.0170
2095	0.0018
2094	0.0007
2093	0.0128
2092	0.0153
2091	-0.0053
2090	0.0054
2089	0.0114
2088	-0.0054
2087	0.0041
2086	-0.0046
2085	0.0100
2084	-0.0089
2083	0.0062
2082	-0.0001
2081	0.0002
2080	0.0048
2079	0.0040
2078	0.0005
2077	-0.0088
2076	0.0134
2075	0.0100
2074	0.0053
2073	0.0033
2072	-0.0061
2071	0.0074
2070	-0.0007
2069	0.0006
2068	0.0107
2067	0.0021
2066	0.0034
2065	-0.0149
2064	0.0033
2063	-0.0067
2062	0.0021
2061	0.0075
2060	-0.0080
2059	-0.0054
2058	-0.0040
2057	0.0067
2056	0.0053
2055	-0.0060
2054	0.0021
2053	-0.0074
2052	0.0067
2051	-0.0168
2050	0.0006
2049	-0.0060
2048	-0.0067
2047	-0.0020
2046	0.0045
2045	-0.0113
2044	0.0048
2043	0.0027
2042	-0.0120
2041	0.0121
2040	0.0059
2039	0.0026
2038	-0.0006
2037	-0.0127
2036	-0.0040
2035	0.0019
2034	0.0061
2033	0.0007
2032	-0.0080
2031	0.0140
2030	0.0026
2029	-0.0041
2028	-0.0067
2027	0.0133
2026	0.0014
2025	0.0015
2024	0.0128
2023	0.0033
2022	0.0099
2021	0.0060
2020	-0.0154
2019	-0.0034
2018	0.0007
2017	0.0007
2016	-0.0074
2015	-0.0093
2014	-0.0008
2013	0.0113
2012	-0.0027
2011	0.0020
2010	0.0001
2009	0.0052
2008	0.0113
2007	-0.0066
2006	0.0072
2005	0.0127
2004	-0.0073
2003	0.0059
2002	-0.0075
2001	0.0074
2000	-0.0053
1999	-0.0007
1998	0.0017
1997	0.0001
1996	-0.0018
1995	0.0134
1994	-0.0001
1993	0.0070
1992	-0.0000
1991	-0.0057
1990	0.0052
1989	0.0097
1988	-0.0034
1987	0.0109
1986	-0.0026
1985	0.0026
1984	0.0019
1983	0.0069
1982	0.0105
1981	0.0063
1980	-0.0002
1979	0.0044
1978	-0.0120
1977	-0.0146
1976	-0.0020
1975	0.0070
1974	-0.0052
1973	0.0046
1972	0.0021
1971	0.0007
1970	0.0077
1969	-0.0052
1968	-0.0078
1967	0.0071
1966	-0.0038
1965	0.0032
1964	0.0012
1963	-0.0020
1962	-0.0025
1961	-0.0020
1960	0.0037
1959	-0.0014
1958	0.0018
1957	0.0019
1956	-0.0020
1955	-0.0013
1954	0.0052
1953	-0.0076
1952	-0.0020
1951	0.0026
1950	-0.0038
1949	0.0115
1948	0.0005
1947	0.0038
1946	0.0065
1945	-0.0007
1944	0.0201
1943	-0.0083
1942	0.0018
1941	0.0000
1940	0.0024
1939	-0.0026
1938	-0.0018
1937	0.0033
1936	-0.0057
1935	0.0128
1934	0.0095
1933	0.0056
1932	0.0027
1931	-0.0122
1930	0.0046
1929	0.0115
1928	0.0058
1927	0.0019
1926	0.0077
1925	0.0197
1924	0.0109
1923	-0.0007
1922	0.0162
1921	0.0131
1920	0.0029
1919	-0.0007
1918	0.0031
1917	-0.0135
1916	0.0122
1915	0.0160
